Arts, culture, et spectacles       arts, culture and entertainment                                     subj:01000000                 
Agriculture                        agriculture                                                                        subj:04001000  
Cultures                           arable farming                                                                                    subj:04001001  
Pêche                              fishing industry                                                                                  subj:04001002  
Exploitation forestière            forestry and timber                                                                               subj:04001003  
élevage                            livestock farming                                                                                 subj:04001004  
Viticulture                        viniculture                                                                                       subj:04001005  
Aquaculture                        aquaculture                                                                                       subj:04001006  
Chimie                             chemicals                                                                          subj:04002000  
Biotechnologie                     biotechnology                                                                                     subj:04002001  
Engrais                            fertiliser                                                                                        subj:04002002  
Hygiène et Cosmétiques             health and beauty product                                                                         subj:04002003  
Chimie inorganique                 inorganic chemical                                                                                subj:04002004  
Chimie organique                   organic chemical                                                                                  subj:04002005  
Pharmacie                          pharmaceutical                                                                                    subj:04002006  
Plastiques et synthétiques         synthetic and plastic                                                                             subj:04002007  
Informatique et technologie de l'incomputing and information technology                                               subj:04003000  
Matériel informatique              hardware                                                                                          subj:04003001  
Réseaux et télécommunications      networking                                                                                        subj:04003002  
Satellites                         satellite technology                                                                              subj:04003003  
Semiconducteurs                    semiconductors and active components                                                              subj:04003004  
Logiciels                          software                                                                                          subj:04003005  
équipement de télécommunication    telecommunication equipment                                                                       subj:04003006  
Services télécoms                  telecommunication service                                                                         subj:04003007  
Sécurité                           security                                                                                          subj:04003008  
Technologie sans-fil               wireless technology                                                                               subj:04003009  
équipement et immobilier           construction and property                                                          subj:04004000  
Travaux Publics                    heavy construction                                                                                subj:04004001  
Bâtiment                           house building                                                                                    subj:04004002  
Immobilier                         real estate                                                                                       subj:04004003  
Exploitations agricoles            farms                                                                                             subj:04004004  
Foncier                            land price                                                                                        subj:04004005  
Rénovation                         renovation                                                                                        subj:04004006  
Design et ingénierie               design and engineering                                                                            subj:04004007  
énergie et ressources              energy and resource                                                                subj:04005000  
énergies alternatives              alternative energy                                                                                subj:04005001  
Charbon                            coal                                                                                              subj:04005002  
Pétrole et gaz                     oil and gas - downstream activities                                                               subj:04005003  
Pétrole et gaz                     oil and gas - upstream activities                                                                 subj:04005004  
énergie nucléaire                  nuclear power                                                                                     subj:04005005  
électricité                        electricity production and distribution                                                           subj:04005006  
Traitement des déchets             waste management and pollution control                                                            subj:04005007  
Alimentation en eau                water supply                                                                                      subj:04005008  
Ressources naturelles              natural resources (general)                                                                       subj:04005009  
énergie                            energy (general)                                                                                  subj:04005010  
Gaz naturel                        natural gas                                                                                       subj:04005011  
Essence                            petrol                                                                                            subj:04005012  
Carburant diesel                   diesel fuel                                                                                       subj:04005013  
Kérosène                           kerosene/paraffin                                                                                 subj:04005014  
Services financiers                financial and business service                                                     subj:04006000  
Comptabilité et Audit              accountancy and auditing                                                                          subj:04006001  
Banque                             banking                                                                                           subj:04006002  
Consultants                        consultancy service                                                                               subj:04006003  
Agence pour l'emploi               employment agency                                                                                 subj:04006004  
Services de santé                  healthcare provider                                                                               subj:04006005  
Assurances                         insurance                                                                                         subj:04006006  
Service juridique                  legal service                                                                                     subj:04006007  
études de marché                   market research                                                                                   subj:04006008  
Courtage d'actions                 stock broking                                                                                     subj:04006009  
Placements personnels              personal investing                                                                                subj:04006010  
Tendance du marché                 market trend                                                                                      subj:04006011  
Sociétés de tansport               shipping service                                                                                  subj:04006012  
Soins de beauté                    personal service                                                                                  subj:04006013  
Sociétés d'entretien               janitorial service                                                                                subj:04006014  
Pompes funèbres                    funeral parlour and crematorium                                                                   subj:04006015  
Sociétés de location               rental service                                                                                    subj:04006016  
Services matrimoniaux              wedding service                                                                                   subj:04006017  
épargne personnelle                personal finance                                                                                  subj:04006018  
Revenus personnels                 personal income                                                                                   subj:04006019  
Ventes anx enchères                auction service                                                                                   subj:04006020  
Reprographie                       printing/promotional service                                                                      subj:04006021  
Conseillers financiers             investment service                                                                                subj:04006022  
Distribution                       consumer goods                                                                     subj:04007000  
Habillement                        clothing                                                                                          subj:04007001  
Grands magasins                    department store                                                                                  subj:04007002  
Alimentation                       food                                                                                              subj:04007003  
Vente par correspondance           mail order                                                                                        subj:04007004  
Commerce de détail                 retail                                                                                            subj:04007005  
Commerce spécialisé                speciality store                                                                                  subj:04007006  
Grossistes                         wholesale                                                                                         subj:04007007  
Distribution de boissons           beverage                                                                                          subj:04007008  
Commerce électronique              electronic commerce                                                                               subj:04007009  
Commerce de luxe                   luxury good                                                                                       subj:04007010  
Biens de consommation              non-durable good                                                                                  subj:04007011  
Jouets                             toy                                                                                               subj:04007012  
Macro économie                     macro economics                                                                    subj:04008000  
Banques centrales                  central bank                                                                                      subj:04008001  
Consommation                       consumer issue                                                                                    subj:04008002  
Marché obligataire                 debt market                                                                                       subj:04008003  
Indicateurs économiques            economic indicator                                                                                subj:04008004  
Pays émergents                     emerging market                                                                                   subj:04008005  
Marché des changes                 foreign exchange market                                                                           subj:04008006  
Aide publique                      government aid                                                                                    subj:04008007  
Dette publique                     government debt                                                                                   subj:04008008  
Taux d'intérêts                    interest rate                                                                                     subj:04008009  
Institutions économiques internatiointernational economic institution                                                                subj:04008010  
Commerce International             international (foreign) trade                                                                     subj:04008011  
Financement                        loan market                                                                                       subj:04008012  
Organisations économiques          economic organization                                                                             subj:04008013  
Confiance des consommateurs        consumer confidence                                                                               subj:04008014  
Conflit commercial                 trade dispute                                                                                     subj:04008015  
Inflation et déflation             inflation and deflation                                                                           subj:04008016  
Prix                               prices                                                                                            subj:04008017  
Changes                            currency values                                                                                   subj:04008018  
Budget                             budgets and budgeting                                                                             subj:04008019  
Crédit                             credit and debt                                                                                   subj:04008020  
Prêts                              loans                                                                                             subj:04008021  
Emprunts immobiliers               mortgages                                                                                         subj:04008022  
Marchés financiers                 financial markets                                                                                 subj:04008023  
Marchés des matières premières     commodity markets                                                                                 subj:04008024  
Investissements                    investments                                                                                       subj:04008025  
Parts de société                   stocks                                                                                            subj:04008026  
Obligations                        bonds                                                                                             subj:04008027  
Fonds d'investissement             mutual funds                                                                                      subj:04008028  
Produits dérivés                   derivative securities                                                                             subj:04008029  
Importations                       imports                                                                                           subj:04008030  
Exportations                       exports                                                                                           subj:04008031  
Accords commerciaux                trade agreements                                                                                  subj:04008032  
Politique commerciale              trade policy                                                                                      subj:04008033  
Entrepises                         business enterprises                                                                              subj:04008034  
Droits de douane                   tariff                                                                                            subj:04008035  
Balance commerciale                trade balance                                                                                     subj:04008036  
Marchés                            market and exchange                                                                subj:04009000  
Marché énergie                     energy                                                                                            subj:04009001  
Métaux                             metal                                                                                             subj:04009002  
Bourse                             securities                                                                                        subj:04009003  
Denrées                            soft commodity                                                                                    subj:04009004  
Médias                             media                                                                              subj:04010000  
Publicité                          advertising                                                                                       subj:04010001  
édition                            book                                                                                              subj:04010002  
Cinéma                             cinema industry                                                                                   subj:04010003  
Agences de presse                  news agency                                                                                       subj:04010004  
Journaux et périodiques            newspaper and magazine                                                                            subj:04010005  
Services en ligne                  online                                                                                            subj:04010006  
Relations publiques                public relation                                                                                   subj:04010007  
Industrie de la Radio              radio industry                                                                                    subj:04010008  
Câble et satellite                 satellite and cable service                                                                       subj:04010009  
Industrie de la télévision         television industry                                                                               subj:04010010  
Industrie musicale                 music industry                                                                                    subj:04010011  
Industries métallurgiques et mécanimanufacturing and engineering                                                      subj:04011000  
Industrie aéronautique et de l' espaerospace                                                                                         subj:04011001  
Industrie automobile               automotive equipment                                                                              subj:04011002  
Industrie de défense               defence equipment                                                                                 subj:04011003  
équipement électrique              electrical appliance                                                                              subj:04011004  
Mécanique lourde                   heavy engineering                                                                                 subj:04011005  
Composants industriels             industrial component                                                                              subj:04011006  
contrôle et mesure                 instrument engineering                                                                            subj:04011007  
Construction navale                shipbuilding                                                                                      subj:04011008  
Machine outil                      machine manufacturing                                                                             subj:04011009  
Métaux et minéraux                 metal and mineral                                                                  subj:04012000  
Matériaux de construction          building material                                                                                 subj:04012001  
Or et métaux précieux              gold and precious material                                                                        subj:04012002  
Sidérurgie                         iron and steel                                                                                    subj:04012003  
Métaux non ferreux                 non ferrous metal                                                                                 subj:04012004  
Mines                              mining                                                                                            subj:04012005  
Industries de transformation       process industry                                                                   subj:04013000  
Boissons alcoolisées               distiller and brewer                                                                              subj:04013001  
Alimentation                       food                                                                                              subj:04013002  
Meubles et décoration              furnishings and furniture                                                                         subj:04013003  
Papier et emballage                paper and packaging product                                                                       subj:04013004  
Caoutchouc                         rubber product                                                                                    subj:04013005  
Boissons non alcoolisées           soft drinks                                                                                       subj:04013006  
Textile                            textile and clothing                                                                              subj:04013007  
Tabac                              tobacco                                                                                           subj:04013008  
Tourisme et loisirs                tourism and leisure                                                                subj:04014000  
Casinos                            casino and gambling                                                                               subj:04014001  
Hotellerie                         hotel and accommodation                                                                           subj:04014002  
Articles de sport et plein air     recreational and sporting goods                                                                   subj:04014003  
Restauration                       restaurant and catering                                                                           subj:04014004  
Voyagistes                         tour operator                                                                                     subj:04014005  
Industrie de transport             transport                                                                          subj:04015000  
Transport aérien                   air transport                                                                                     subj:04015001  
Transport ferroviaire              railway                                                                                           subj:04015002  
Transport routier                  road transport                                                                                    subj:04015003  
Transport fluvial et maritime      waterway and maritime transport                                                                   subj:04015004  
Vie des sociétés                   company information                                                                subj:04016000  
Comptabilité et audit              accounting and audit                                                                              subj:04016001  
Assemblées générales               annual and special corporate meeting                                                              subj:04016002  
Rapports annuels                   annual report                                                                                     subj:04016003  
Problèmes de concurrence           antitrust issue                                                                                   subj:04016004  
Fusions-acquisitions               merger, acquisition and takeover                                                                  subj:04016005  
